1,S/RES/999 (1995),UN Mission of Observers in Tajikistan
2,S/RES/998 (1995),UN Protection Force
3,S/RES/997 (1995),UN Assistance Mission for Rwanda
4,S/RES/996 (1995),UN Disengagement Observer Force
5,S/RES/995 (1995),Western Sahara
6,S/RES/994 (1995),UN Confidence Restoration Operation in Croatia
7,S/RES/993 (1995),UN Observer Mission in Georgia
8,S/RES/992 (1995),Freedom of navigation on the Danube River
9,S/RES/991 (1995),UN Observer Mission in El Salvador
10,S/RES/990 (1995),UN Confidence Restoration Operation in Croatia
11,S/RES/989 (1995),International Criminal Tribunal for Rwanda (ICTR)
12,S/RES/988 (1995),Further extension of the partial suspension of certain sanctions against Yugoslavia
13,S/RES/987 (1995),Security and safety of the UN Protection Force
14,S/RES/986 (1995),Iraq
15,S/RES/985 (1995),UN Observer Mission in Liberia
16,S/RES/984 (1995),Use of nuclear weapons
17,S/RES/983 (1995),UN Preventive Deployment Force (UNPREDEP) within The former Yugoslav Republic of Macedonia
18,S/RES/982 (1995),UN Protection Force in Bosnia and Herzegovina and its operations in Croatia
19,S/RES/981 (1995),UN Confidence Restoration Operation in Croatia (UNCRO)
20,S/RES/980 (1995),International Court of Justice
21,S/RES/979 (1995),International Court of Justice
22,S/RES/978 (1995),Arrest and detention of persons responsible for acts within the jurisdiction of the International Tribunal for Rwanda (ICTR)
23,S/RES/977 (1995),Designation of Arusha as the seat of the International Tribunal for Rwanda (ICTR)
24,S/RES/976 (1995),UN Angola Verification Mission III
25,S/RES/975 (1995),UN Mission in Haiti
26,S/RES/974 (1995),UN Interim Force in Lebanon
27,S/RES/973 (1995),Western Sahara
28,S/RES/972 (1995),UN Observer Mission in Liberia
29,S/RES/971 (1995),UN Observer Mission in Georgia
30,S/RES/970 (1995),Yugoslavia and Bosnia and Herzegovina
31,S/RES/969 (1994),UN peacekeeping Force in Cyprus
32,S/RES/968 (1994),UN Mission of Observers in Tajikistan
33,S/RES/967 (1994),Exemption from the provisions of resolution 757 (1992) permitting the export of diphtheria anti-serum from the Republic of Yugoslavia for a period of 30 days from the date of the adoption of this resolution
34,S/RES/966 (1994),UN Angola Verification Mission II
35,S/RES/965 (1994),UN Assistance Mission for Rwanda
36,S/RES/964 (1994),UN Mission in Haiti
37,S/RES/963 (1994),Admission of a new Member: Palau
38,S/RES/962 (1994),UN Disengagement Observer Force
39,S/RES/961 (1994),UN Observer Mission in El Salvador
40,S/RES/960 (1994),Mozambique
41,S/RES/959 (1994),UN Protection Force in Bosnia and Herzegovina
42,S/RES/958 (1994),UN Protection Force in Bosnia and Herzegovina and in Croatia
43,S/RES/957 (1994),UN Operation in Mozambique
